n_id,nbName,nwName,nbyear,enter
165,뇌 과학의 모든 역사 :인간의 가장 깊은 비밀 뇌를 이해하기 위한 눈부신 시도들,매튜 코브 지음,2021,20221027
166,한권으로 끝내는 AMA PCM marketing management,한국마케팅교육 편저,2021,20221027
167,커리어 그리고 가정 :평등을 향한 여성들의 기나긴 여정,클라우디아 골딘 지음,2021,20221027
168,콘텐츠 머니타이제이션 :플랫폼의 승부처 콘텐츠 대전 2022 =Content monetization,김용태 [지음],2021,20221027
169,콜센터 연봉 1억녀의 비밀노트 :텔레마케팅의 모든 것,이송미 지음,2021,20221027
170,탑 클래스 마인드셋 :퇴사와 이직을 꿈꾸는 승무원을 위한 두 번째 커리어 플랜,김샛별,2021,20221027
171,텐배거 입문 :인생을 역전시키는 10배 주식,니시노 다다스 지음,2021,20221027
172,통일대통령 깃발,박해전 지음,2021,20221027
173,조국(祖國)의 종말 그 이후를 위한 새로운 이야기 :MZ세대는 어떤 선택을 할 것인가?,혜려휘 지음,2021,20221027
174,피지털 커먼즈 :플랫폼 인클로저에 맞서는 기술생태 공통장 =Phygital commons,이광석 지음,2021,20221027
175,한국의 국가안보정책 결정체계 =National security policy decision-making framework of Republic of Korea,장혁 지음,2021,20221027
176,한국 교육철학사상의 아키타이프,신창호 지음,2021,20221027
177,학교자치를 말하다 :교사들이 들려주는 학교자치 현장의 이야기 =School autonomy,백원석,2021,20221027
178,하이브리드 사회책임회계 :회계와 공학의 만남 =Hybrid CSR?ESG accounting : bridging accounting and engineering,육근효 지음,2021,20221027
179,하루 5시간 일하고 연 10억 버는 엄마 사장입니다,신유안 지음,2021,20221027
180,하루 10분 책읽기가 삶의 강력한 무기가 된다 :운명처럼 만난 책으로 삶이 바뀐다!,김보혜 지음,2021,20221027
181,(플랫폼 제국의 탄생과) 브랜드의 미래 :쿠팡 네이버 배민보다 먼저 찾는 브랜드는 무엇이 다른가,김병규 지음,2021,20221027
182,프랑스 영화와 법 =French cinema & law,손상민 저,2021,20221027
183,표류사회 :한국의 여성 인식사,이소정 지음,2021,20221027
184,페미니즘 철학 입문 :우리가 서로를 찾을 때까지,김은주 지음,2021,20221027
185,퍼블리싱 광고 마케팅 :다른 출판사는 책 광고를 어떻게 할까? =Publishing advertising marketing,흔들의자 지음,2021,20221027
186,아프간 불멸의 전사 마수드,크리스토프 드 퐁피이 지음,2021,20221027
187,파이브 팩터 :스펙 배경 운을 뛰어넘는 5가지 비즈니스 예측의 기술,패트릭 벳-데이비드,2021,20221027
188,트랜센드 :최고의 마음은 어떻게 만들어지는가,스콧 베리 카우프만 지음,2021,20221027
189,미적분의 힘 :복잡한 세상을 푸는 단순하고 강력한 도구,스티븐 스트로가츠 지음,2021,20221027
190,(원서발췌) 동물 철학,장 바티스트 드 라마르크 지음,2021,20221027
191,(데이터로 알 수 있는) 2030년 지구의 경고,후마 겐지 지음,2021,20221027
192,휘슬블로어 :세상을 바꾼 위대한 목소리,수전 파울러 지음,2021,20221027
